fecha,base,moneda_destino,usd_pen,fuente,fecha_fuente,updated_at_lima
2026-06-14,USD,PEN,3.395719,ExchangeRate-API,"Sun, 14 Jun 2026 00:02:31 +0000",2026-06-14T19:10:33.712363-05:00
2026-06-15,USD,PEN,3.392502,ExchangeRate-API,"Tue, 16 Jun 2026 00:02:31 +0000",2026-06-15T21:40:02.158467-05:00
2026-06-16,USD,PEN,3.392502,ExchangeRate-API,"Tue, 16 Jun 2026 00:02:31 +0000",2026-06-16T15:35:39.204383-05:00
2026-06-17,USD,PEN,3.392091,ExchangeRate-API,"Wed, 17 Jun 2026 00:02:31 +0000",2026-06-17T11:23:03.826507-05:00
